AccID,log2FC,Pvalue,FDR,S2_1,S2_2,S2_3,NC_1,NC_2,NC_3,EnsemblID
VANGL1,-0.552254322,5.57E-12,2.64E-11,497,582,564,603,812,776,ENSG00000173218
VAPA,-0.961850573,3.18E-102,9.95E-101,2044,2307,2340,3189,4388,4297,ENSG00000101558
VAPB,-0.581794784,2.61E-19,1.68E-18,894,995,1069,1079,1486,1468,ENSG00000124164
VARS1,-0.501186645,2.51E-27,2.09E-26,2009,2358,2193,2366,3041,3030,NA
VARS2,-1.268549137,0.047120251,0.08881114,7,6,5,9,17,14,ENSG00000137411
VASH1,1.009702432,3.23E-14,1.70E-13,282,352,353,123,160,162,ENSG00000071246
VASH1-AS1,1.206578146,0.240119202,0.34987302,7,5,6,3,0,4,ENSG00000258301
VASH2,-1.296625201,1.07E-08,4.26E-08,54,46,49,103,113,116,ENSG00000143494
VASN,1.133056575,3.98E-06,1.32E-05,94,130,91,39,50,41,ENSG00000168140
VASP,-0.969547286,2.81E-90,7.58E-89,1620,1945,1926,2688,3473,3613,ENSG00000125753
VAT1,1.844898754,0,0,5330,5895,5928,1245,1476,1616,ENSG00000108828
VAV2,-0.091901306,0.115821926,0.192367692,1402,1537,1549,1172,1653,1534,ENSG00000160293
VAV3,0.908661802,0.277855377,0.39160825,4,12,9,3,7,2,ENSG00000134215
VAX2,1.188074929,1.34E-06,4.66E-06,92,106,102,31,38,51,ENSG00000116035
VBP1,-1.705922214,3.87E-125,1.55E-123,419,498,478,1162,1519,1453,ENSG00000155959
VCL,-1.410491921,0,0,8091,9321,9035,17715,23374,22846,ENSG00000035403
VCP,-0.032635116,0.366447026,0.487608287,7214,8449,8301,5991,8114,8219,ENSG00000165280
VCPIP1,-0.215739479,0.00260788,0.006369489,806,997,1023,848,1099,1028,ENSG00000175073
VCPKMT,-0.877339633,3.17E-17,1.88E-16,286,312,288,409,568,505,ENSG00000100483
VDAC1,-0.347251029,1.58E-30,1.44E-29,11708,13641,13548,12410,16277,16304,ENSG00000213585
VDAC1P1,-0.656676022,0.024619144,0.050000346,48,41,41,38,63,89,ENSG00000073905
VDAC1P11,-1.759423791,0.317585465,0.435765993,0,1,1,2,3,1,ENSG00000237679
VDAC1P2,-1.403902507,0.390059361,0.512257827,1,2,0,3,0,4,ENSG00000213856
VDAC1P6,-0.050275646,0.984133268,1,1,1,0,0,0,2,ENSG00000231341
VDAC1P8,-0.573429229,0.008881206,0.019869175,62,64,75,76,95,101,ENSG00000229036
VDAC2,-0.533456072,4.30E-32,4.07E-31,2706,3187,3160,3463,4316,4092,ENSG00000165637
VDAC2P5,-0.521191991,9.50E-09,3.79E-08,399,457,435,446,620,623,NA
VDAC3,-0.249089862,1.97E-09,8.20E-09,3339,3838,3769,3173,4331,4348,ENSG00000078668
VDAC3P1,-0.951652497,0.751048943,1,0,0,1,0,0,2,ENSG00000271198
VDR,-1.200192721,6.84E-05,0.000202569,27,25,34,44,68,69,ENSG00000111424
VEGFA,-0.729120529,3.27E-24,2.48E-23,604,757,706,869,1133,1109,ENSG00000112715
VEGFB,-0.230145131,0.082630328,0.144310384,183,237,231,198,251,243,ENSG00000173511
VEGFC,-0.705224731,2.31E-21,1.60E-20,611,679,700,792,1041,1123,ENSG00000150630
VEGFD,2.231023023,0.015014955,0.031979112,12,11,9,4,2,0,ENSG00000165197
VEPH1,-0.486864542,1.55E-06,5.35E-06,356,463,403,476,517,553,ENSG00000197415
VEZF1,-1.148383295,5.36E-53,7.92E-52,489,535,512,872,1126,1098,ENSG00000136451
VEZT,-0.747060447,2.87E-22,2.05E-21,677,664,709,923,1134,1067,ENSG00000028203
VEZTP1,-0.782054947,0.193814808,0.29452905,7,11,8,14,8,18,NA
VGF,-0.418563974,6.57E-08,2.48E-07,616,654,637,647,821,852,ENSG00000128564
VGLL4,0.662378894,1.06E-09,4.48E-09,401,467,469,224,260,282,ENSG00000144560
VHL,0.769665364,8.46E-35,8.67E-34,1615,1886,1837,766,986,1098,ENSG00000134086
VHLL,0.370160695,0.767968605,0.840591101,0,6,4,1,2,4,ENSG00000189030
VILL,-0.142105768,0.801185449,0.865007474,13,13,11,6,13,19,ENSG00000136059
VIM,-0.378341261,2.59E-25,2.04E-24,27025,31738,31975,28441,38892,40188,ENSG00000026025
VIM-AS1,-0.699912119,0.0071325,0.016233653,38,49,49,53,70,78,ENSG00000229124
VINAC1P,-0.708871643,0.658293701,0.755605927,4,0,0,3,1,2,NA
VIPAS39,-0.93502596,1.53E-16,8.85E-16,264,253,308,415,547,471,ENSG00000151445
VIPR1-AS1,2.666359999,0.314091669,1,0,2,2,0,0,0,ENSG00000232354
VIRMA,-0.115715802,0.054002294,0.099895183,1273,1599,1533,1214,1602,1515,ENSG00000164944
VIRMA-DT,0.551397542,0.552804287,0.665832567,7,4,5,3,3,4,NA
VKORC1,-1.439355222,1.97E-05,6.13E-05,24,27,26,43,49,100,ENSG00000167397
VKORC1L1,-0.358616393,1.01E-16,5.89E-16,2432,2747,2737,2583,3367,3276,ENSG00000196715
VLDLR,-1.216048322,1.01E-05,3.22E-05,23,42,43,67,80,79,ENSG00000147852
VMA21,-0.792851916,5.29E-68,1.01E-66,1958,2246,2313,2812,3741,3718,ENSG00000160131
VMAC,1.095889138,9.09E-05,0.000265763,83,64,93,32,33,37,ENSG00000187650
VMO1,0.698758421,0.241898486,0.351861047,12,14,15,6,9,8,ENSG00000182853
